Age,DistanceFromHome,JobLevel,MonthlyIncome,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,Attrition
36,5,1,3419,14,6,1,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,1,0
33,1,2,5376,19,10,5,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married,0,0
35,4,1,1951,12,1,1,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Divorced,0,0
27,2,1,2341,13,1,1,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,0,0
26,25,1,2293,12,1,1,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,0,1
27,8,3,8726,15,9,9,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Single,0,0
30,1,2,4011,23,12,12,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,0,0
41,12,5,19545,12,23,22,Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,Married,0,1
34,23,2,4568,20,10,9,Non-Travel,Sales,Marketing,Male,Sales Executive,Single,0,0
37,19,1,3022,21,8,1,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,0,0
46,5,2,5772,21,14,9,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,1,0
35,8,1,2269,19,1,1,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,0,0
48,1,3,5381,13,23,1,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,1,1
28,5,1,3441,13,2,2,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Single,1,1
44,1,2,5454,21,9,4,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,1,0
35,11,3,9884,13,10,4,Non-Travel,Research & Development,Medical,Male,Healthcare Representative,Married,1,0
26,23,2,4157,19,5,2,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,1,0
33,1,3,13458,12,15,15,Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Single,1,0
35,18,3,9069,22,9,9,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Married,0,0
35,23,1,4014,15,4,2,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,1,0
31,7,2,5915,22,10,7,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,0,0
37,1,2,5993,18,7,7,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,0,0
32,1,2,6162,22,9,9,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,1,0
38,29,2,2406,11,10,10,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,0,0
50,7,5,18740,12,29,27,Travel_Rarely,Research & Development,Medical,Female,Research Director,Divorced,1,0
59,25,3,7637,11,28,21,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,0,0
36,8,3,10096,13,17,17,Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Divorced,0,0
55,8,4,14756,14,21,5,Travel_Rarely,Research & Development,Medical,Female,Manager,Divorced,1,0
36,11,2,6499,13,6,6,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,0,0
45,7,3,9724,17,25,1,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,0,0
35,1,1,2194,13,5,3,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Married,0,0
36,9,1,3388,17,2,1,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,1,1
59,1,2,5473,11,20,4,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single,0,0
29,2,1,2703,23,6,5,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,0,0
31,1,1,2501,17,1,1,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,0,0
32,1,2,6220,17,10,10,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,0,0
36,6,1,3038,12,5,1,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,0,0
31,8,2,4424,23,11,11,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,0,0
35,1,2,4312,14,16,15,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,0,0
45,6,3,13245,14,17,0,Travel_Rarely,Research & Development,Other,Male,Research Director,Married,1,0
37,7,3,13664,13,16,5,Travel_Rarely,Research & Development,Medical,Male,Research Director,Single,0,0
46,5,2,5021,22,16,4,Travel_Rarely,Human Resources,Medical,Male,Human Resources,Divorced,1,0
30,1,2,5126,12,10,10,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,0
35,1,1,2859,18,6,6,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,0,0
55,1,3,10239,14,24,1,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,0,0
38,6,2,5329,12,17,13,Non-Travel,Research & Development,Medical,Female,Research Scientist,Divorced,1,0
34,1,2,4325,15,5,5,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,0,0
56,7,3,7260,11,37,6,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single,0,0
23,2,1,2322,13,3,0,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Divorced,0,0
51,9,1,2075,23,10,4,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,0,0
30,2,2,4152,19,11,11,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,0,0
46,9,3,9619,16,9,9,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,0,1
40,1,4,13503,22,22,22,Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Married,0,0
51,21,2,5441,22,11,10,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,1,0
30,4,2,5209,12,11,11,Travel_Rarely,Sales,Medical,Female,Sales Executive,Divorced,1,0
46,1,3,10673,13,21,10,Travel_Frequently,Research & Development,Medical,Male,Healthcare Representative,Married,1,0
32,6,2,5010,16,12,11,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,0,0
54,2,3,13549,12,16,4,Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,Married,0,0
24,3,2,4999,21,4,3,Travel_Rarely,Sales,Other,Female,Sales Executive,Married,0,0
28,4,2,4221,15,5,5,Non-Travel,Sales,Medical,Male,Sales Executive,Married,0,0
58,10,4,13872,13,38,37,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,0,0
44,23,2,2042,12,17,3,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Married,0,0
37,6,1,2073,22,7,3,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Divorced,1,1
32,1,1,2956,13,1,1,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,0,0
20,6,1,2926,18,1,1,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,1,1
34,6,2,4809,14,16,16,Travel_Rarely,Research & Development,Other,Female,Research Scientist,Single,0,0
37,2,2,5163,14,17,1,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,0,0
59,2,5,18844,21,30,3,Non-Travel,Human Resources,Human Resources,Female,Manager,Married,0,0
50,1,5,18172,19,28,8,Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Married,1,0
25,5,2,5744,11,6,6,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,1,1
25,7,1,2889,11,2,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,0,0
22,15,1,2871,15,1,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,0,0
51,1,3,7484,20,23,13,Travel_Frequently,Research & Development,Medical,Female,Healthcare Representative,Single,0,0
34,7,2,6074,24,9,9,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Single,1,1
54,26,4,17328,12,23,5,Non-Travel,Human Resources,Human Resources,Female,Manager,Single,1,0
24,18,1,2774,12,6,5,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,0,0
34,6,2,4505,15,12,1,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,0,0
37,3,3,7428,12,12,5,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,0,0
34,5,3,11631,12,14,11,Travel_Rarely,Research & Development,Medical,Female,Manager,Single,0,0
36,11,3,9738,14,10,9,Travel_Frequently,Sales,Technical Degree,Female,Sales Executive,Married,0,0
36,3,1,2835,22,7,1,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,0,0
43,26,4,16959,12,25,25,Travel_Frequently,Sales,Life Sciences,Male,Manager,Married,1,0
30,23,1,2613,25,10,10,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Divorced,0,0
33,22,2,6146,13,8,7,Non-Travel,Sales,Marketing,Male,Sales Executive,Married,0,0
56,14,1,4963,18,7,5,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,1,1
51,6,5,19537,13,23,20,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Single,0,0
31,6,2,6172,18,12,7,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,1,1
26,6,1,2368,19,5,5,Travel_Rarely,Research & Development,Other,Female,Research Scientist,Married,0,0
58,23,3,10312,12,40,40,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,0,1
19,22,1,1675,19,0,0,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Single,1,1
22,2,1,2523,14,3,2,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Married,0,0
49,20,2,6567,14,16,15,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Married,0,0
43,28,1,4739,12,18,3,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single,0,0
50,12,3,9208,11,16,2,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,0,0
31,20,2,4559,11,4,2,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,1,1
41,9,3,8189,13,12,9,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,1,0
26,25,1,2942,23,8,8,Travel_Rarely,Human Resources,Life Sciences,Female,Human Resources,Married,0,0
36,6,2,4941,20,7,3,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced,0,0
51,8,3,10650,15,18,4,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,0,1
39,4,2,5902,14,17,15,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,0,0
25,28,2,8639,18,6,2,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,0,0
30,9,2,6347,19,12,11,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Married,1,0
32,9,1,4200,22,10,5,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,0,1
45,29,1,3452,13,9,6,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,0,0
38,3,2,4317,20,19,3,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Single,1,0
30,18,1,2632,14,5,5,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,0,0
32,9,2,4668,17,9,8,Travel_Frequently,Sales,Medical,Male,Sales Executive,Divorced,0,0
30,5,1,3204,14,8,3,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Divorced,0,0
30,2,1,2720,13,6,5,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,0,0
41,10,4,17181,13,21,7,Travel_Frequently,Research & Development,Life Sciences,Male,Manager,Divorced,0,0
41,9,1,2238,21,7,5,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,0,0
19,3,1,1483,14,1,1,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,0,0
40,26,2,5605,11,20,20,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Divorced,0,0
35,1,3,7295,13,10,10,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,0,0
53,6,2,2306,20,13,7,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,1,0
45,9,2,2348,18,20,17,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,0,0
32,8,3,8998,14,9,9,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,0,0
29,1,2,4319,13,10,10,Non-Travel,Research & Development,Technical Degree,Male,Manufacturing Director,Married,0,0
51,7,2,6132,17,10,1,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,0,0
58,9,1,3346,20,9,1,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,1,0
40,4,3,10855,11,15,12,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,0,0
34,2,1,2231,18,6,4,Travel_Frequently,Sales,Marketing,Female,Sales Representative,Married,0,0
22,19,1,2323,24,2,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,0,0
27,9,1,2024,18,6,2,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,0,0
28,21,1,2713,11,5,5,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,0,0
57,24,3,9439,16,12,5,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,1,0
27,3,1,2566,15,1,1,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,1,0
50,11,5,19926,15,21,5,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Single,0,0
41,14,1,2451,12,13,9,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,0,0
30,5,3,9419,12,12,10,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,0,0
38,1,2,8686,22,12,8,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,0,0
32,6,1,3038,20,8,5,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,0,0
27,17,1,3058,16,6,5,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Married,1,0
19,1,1,2325,21,1,0,Travel_Frequently,Sales,Technical Degree,Female,Sales Representative,Single,0,1
36,3,1,2088,12,13,8,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single,0,0
30,9,2,3072,11,12,12,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced,0,0
45,4,2,5006,11,9,5,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Divorced,1,0
56,8,1,4257,18,19,2,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,1,0
33,2,1,2500,14,4,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,0,0
19,2,1,1102,22,1,1,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,0,1
46,1,3,10453,25,24,24,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,0,0
38,9,1,2288,12,2,2,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,0,0
31,12,1,3929,23,7,4,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,1,0
34,27,1,2311,15,9,3,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single,0,0
41,20,1,3140,22,4,4,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Single,1,1
50,1,1,3690,15,5,3,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,0,0
53,13,2,4450,11,5,4,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,0,0
33,14,1,2756,13,8,8,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,0,0
40,4,5,19033,14,21,20,Travel_Rarely,Research & Development,Medical,Female,Manager,Married,0,0
55,14,5,18722,11,36,24,Travel_Rarely,Research & Development,Medical,Male,Research Director,Single,0,0
34,2,2,9547,17,10,10,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Married,0,0
51,3,4,13734,18,21,7,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Single,0,0
52,1,5,19999,14,34,33,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Married,0,0
27,9,1,2279,16,7,7,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single,0,0
35,23,2,5916,13,8,1,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,1,1
43,7,1,2089,14,7,5,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,0,0
45,2,4,16792,23,22,20,Non-Travel,Research & Development,Medical,Male,Manager,Married,0,0
37,21,1,3564,12,8,8,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,1,0
35,2,2,4425,11,10,6,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,0,0
42,21,2,5265,16,11,5,Non-Travel,Research & Development,Medical,Female,Manufacturing Director,Divorced,0,0
38,2,2,6553,14,14,1,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,0,0
38,29,2,6261,18,9,7,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Married,0,0
27,1,2,4298,19,6,2,Travel_Frequently,Research & Development,Technical Degree,Male,Manufacturing Director,Married,0,0
49,18,2,6804,15,7,7,Non-Travel,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,1,0
34,10,1,3815,17,5,5,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Divorced,1,0
40,19,2,2741,15,15,7,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,1,0
38,29,2,6673,19,17,1,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,1,1
29,27,3,7639,22,10,10,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,0,1
22,5,1,2328,16,4,4,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,1,0
36,18,1,2153,13,8,8,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,0,0
40,9,2,4876,14,5,3,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Married,0,0
46,1,3,9396,16,17,4,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Divorced,0,0
32,4,3,10400,11,14,14,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,0,1
30,1,3,8474,22,12,11,Non-Travel,Research & Development,Life Sciences,Male,Manufacturing Director,Single,0,0
27,20,2,9981,14,7,7,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single,0,0
51,8,3,12490,16,16,10,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married,0,0
30,3,1,2657,11,8,5,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Single,1,1
41,6,3,13591,18,16,1,Travel_Rarely,Sales,Life Sciences,Female,Manager,Single,1,0
30,26,2,6696,15,9,6,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,0,1
29,1,1,2058,14,7,6,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Single,0,1
45,6,3,8865,12,23,19,Non-Travel,Sales,Medical,Female,Sales Executive,Single,0,0
54,3,2,5940,14,16,6,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,0,0
36,5,2,5914,16,16,13,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,0,0
33,4,1,2622,21,7,3,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,0,0
37,11,3,12185,14,10,10,Travel_Frequently,Research & Development,Other,Male,Research Director,Divorced,1,0
38,3,3,10609,12,17,16,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,0,0
31,1,2,4345,12,6,5,Non-Travel,Research & Development,Medical,Male,Manufacturing Director,Married,0,0
59,3,1,2177,17,7,1,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,0,0
37,4,1,2793,17,13,9,Travel_Frequently,Sales,Marketing,Male,Sales Representative,Divorced,0,0
29,1,3,7918,14,11,11,Travel_Frequently,Sales,Medical,Female,Sales Executive,Married,0,0
35,1,3,8789,14,10,10,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,0,0
29,18,1,2389,13,4,4,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,1,1
52,2,1,3212,15,6,2,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,0,0
42,4,5,19232,11,22,22,Travel_Rarely,Research & Development,Technical Degree,Male,Manager,Married,0,0
59,6,1,2267,17,7,2,Travel_Rarely,Human Resources,Medical,Male,Human Resources,Married,0,0
50,1,5,19517,11,32,7,Travel_Rarely,Sales,Medical,Female,Manager,Divorced,0,0
33,14,1,2436,13,8,5,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,1,1
43,16,4,16064,22,22,17,Travel_Rarely,Sales,Marketing,Female,Manager,Married,1,0
33,2,1,2707,20,13,9,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,0,1
52,2,5,19068,18,33,33,Non-Travel,Sales,Life Sciences,Male,Manager,Single,1,0
32,4,1,3931,11,6,4,Travel_Rarely,Sales,Life Sciences,Female,Sales Representative,Married,0,0
32,1,1,3730,14,4,3,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,1,1
39,1,1,2232,14,7,3,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced,0,0
32,26,2,4465,18,4,3,Non-Travel,Sales,Marketing,Male,Sales Executive,Married,0,0
41,19,2,3072,16,17,1,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,0,0
40,24,2,3319,17,9,9,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Divorced,0,0
45,1,5,19202,11,25,24,Travel_Rarely,Research & Development,Other,Male,Manager,Married,0,0
31,3,3,13675,12,9,2,Travel_Frequently,Research & Development,Medical,Male,Research Director,Divorced,0,0
33,5,1,2911,13,2,2,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,0,0
34,2,2,5957,13,13,11,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,0,0
37,1,1,3920,14,17,3,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,0,0
45,7,2,6434,17,9,3,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Married,0,0
37,10,3,10048,11,17,1,Travel_Frequently,Research & Development,Medical,Male,Manufacturing Director,Divorced,0,1
39,2,3,10938,25,20,19,Travel_Frequently,Research & Development,Technical Degree,Female,Healthcare Representative,Single,0,0
29,15,1,2340,19,6,6,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,0,0
42,17,2,6545,13,10,3,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,1,0
29,20,2,6931,14,10,3,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,0,0
25,1,2,4898,12,5,4,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,0,0
42,2,1,2593,11,10,9,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced,1,0
40,2,5,19436,19,22,21,Travel_Rarely,Research & Development,Medical,Male,Research Director,Divorced,0,0
51,1,1,2723,11,1,1,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,0,0
31,29,1,3479,11,6,5,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single,0,1
32,7,1,2794,20,5,5,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married,0,0
